Neighbourhood,Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,  Without after-tax income,  With after-tax income,  Percentage with after-tax income,"    Under $10,000 (including loss)","    $10,000 to $19,999","    $20,000 to $29,999","    $30,000 to $39,999","    $40,000 to $49,999","    $50,000 to $59,999","    $60,000 to $69,999","    $70,000 to $79,999","    $80,000 and over",Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,  Without employment income,  With employment income,  Percentage with employment income,"    Under $5,000 (including loss)","    $5,000 to $9,999","    $10,000 to $19,999","    $20,000 to $29,999","    $30,000 to $39,999","    $40,000 to $49,999","    $50,000 to $59,999","    $60,000 to $69,999","    $70,000 to $79,999","    $80,000 and over","      $80,000 to $89,999","      $90,000 to $99,999","      $100,000 and over","Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","In low income based on the Low-income measure, after tax (LIM-AT)",0 to 17 years,0 to 5 years,  18 to 64 years,  65 years and over,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",  0 to 17 years (%),    0 to 5 years (%),  18 to 64 years (%),  65 years and over (%),  Not in the labour force,  In the labour force,    Employed,    Unemployed,Participation rate,Employment rate,Unemployment rate,  Did not work,  Worked,"    Worked full year, full time",    Worked part year and/or part time,Total labour force aged 15 years and over by class of worker - 25% sample data,  Class of worker - not applicable,  All classes of workers,    Employee,    Self-employed
Eringate-Centennial-West Deane,"15,890",680,"15,220",96,2305,"2,470",2185,"1,895","1,760","1,450","1,025",795,"1,330","15,900",4845,11055,70,"1,570",890,1325,"1,020",930,985,865,780,630,2055,505,470,1080,9.7,1800,495,130,"1,040",260,7.5,11.7,10.1,7.4,3.8,5795,10105,"9,355",750,64,59,7.4,5570,10325,"5,405","4,920","10,105",255,"9,850","8,650","1,195"
Etobicoke West Mall,"9,770",485,"9,290",95,1610,"1,780",1585,"1,295","1,045",765,490,325,390,9770,2915,6855,70,900,620,970,760,760,710,595,445,335,750,235,190,325,18.3,2100,595,195,"1,290",215,14.7,22,22.6,14.4,7.3,3355,6420,"5,915",505,66,61,7.9,3295,6480,"3,275","3,200","6,415",200,"6,225","5,575",650
Flemingdon Park,"17,540","1,335","16,210",92,"3,675","4,210",3055,"2,055","1,320",795,465,265,380,17540,6985,10550,60,"1,590","1,135",1955,"1,530","1,275",965,665,460,295,680,205,165,305,34.7,"7,605","2,575",905,"4,215",810,27.2,39,40.6,24.8,17.2,7625,9910,"8,865","1,050",57,51,11,7835,9705,"4,110","5,590","9,915",505,"9,405","8,390","1,030"
Forest Hill North,"10,615",410,"10,200",96,1550,"1,610",1480,"1,120",930,725,535,410,1845,"10,610",2655,7955,75,995,585,1090,940,735,610,510,395,310,1795,235,225,1330,15.5,1960,390,110,"1,265",305,13.3,12,9.9,14.2,10.9,3085,7520,"6,960",560,71,66,7.4,2925,7685,"3,665","4,025","7,520",165,"7,360","5,900","1,465"
Forest Hill South,"9,260",255,9015,97,1130,945,970,880,780,680,550,420,2650,"9,260",2470,6795,73,910,430,725,635,520,495,405,345,285,2035,230,170,1640,10.7,1140,190,45,745,200,9.8,9.4,7,11.2,6.2,3175,6105,"5,765",340,66,62,5.6,2670,6615,"3,070","3,550","6,110",80,"6,030","4,500","1,540"
Glenfield-Jane Heights,"24,435","1,520","22,900",94,"4,460","6,005",4785,"3,415","2,140","1,070",535,260,230,24435,9800,14620,60,"2,020","1,610",2630,"2,210","2,065","1,595",965,620,370,550,245,150,160,25.7,"7,775","2,880",955,"4,000",895,20.9,32,34.2,18.9,13.1,10985,13440,"11,895","1,550",55,49,12,11370,13035,"6,150","6,915","13,435",700,"12,745","11,825",930
Greenwood-Coxwell,"11,915",445,"11,485",96,1875,"2,340",1585,"1,215","1,015",900,720,625,1205,"11,915",3425,8490,71,930,600,1100,830,725,710,590,580,525,1915,420,415,1070,19.7,"2,825",585,185,"1,820",430,17.6,17,12,17.5,18.9,3670,8245,"7,660",595,69,64,7.2,3615,8315,"4,580","3,740","8,250",215,"8,030","6,970","1,060"
Guildwood,"8,360",335,8020,96,1085,"1,160",1085,985,965,705,600,505,930,8360,2810,5555,66,885,380,630,425,420,450,425,315,335,1285,250,290,740,7.7,740,150,45,450,130,6.7,7.9,7,7.8,2.9,3390,4975,"4,575",395,60,55,7.9,3275,5085,"2,720","2,370","4,975",135,"4,840","4,235",615
Henry Farm,"13,205",880,"12,325",93,3205,"2,300",1720,"1,390","1,165",855,655,400,640,13205,4245,8960,68,"1,210",865,1350,"1,070",940,855,655,465,465,1075,335,230,500,29.6,"4,645","1,020",380,"3,320",305,25.4,28,27.8,26.5,11,4600,8605,"7,720",890,65,59,10.3,4590,8620,"3,930","4,685","8,610",320,"8,300","7,540",755
High Park North,"18,980",700,"18,280",96,2680,"2,790",2295,"2,160","1,905","1,600","1,275","1,000","2,585","18,970",4500,14475,76,"1,665","1,000",1640,"1,320","1,215","1,255","1,105",980,810,"3,505",695,625,2175,16.5,"3,605",480,190,"2,585",555,15.1,12,12.4,16,14.3,5265,13715,"12,740",970,72,67,7.1,4840,14120,"7,660","6,480","13,710",270,"13,445","11,590","1,855"
High Park-Swansea,"19,810",635,"19,175",97,2470,"2,435",2355,"2,100","2,035","1,695","1,420","1,090","3,575","19,810",4435,15380,78,"1,760","1,000",1565,"1,330","1,190","1,195","1,150",935,865,"4,390",755,685,2955,11.1,"2,600",490,125,"1,725",385,10.4,10,7.1,10.9,8.1,5290,14525,"13,650",865,73,69,6,4860,14945,"8,050","6,895","14,525",220,"14,295","11,925","2,385"
